"doi","title","amazon_id","review_text"
"10.1086/655035","Bioinformatics","0470089857","I hold a masters degree in computer sciences (so in fact I am a biology dummy), but always had a strong interest for sciences. So I want to delve deeply into this fascinating area, but first wanted to read a book to quickly introduce me the basic concepts. With this background, I must say the book is a little bit disappointing. You can clearly see that this book is written with the biologist in mind, definitely not the computer scientist.		The biological concepts are not explained very well for a biology dummy, let me explain you why  :		1. Some basic biological concepts are not explained. I wanted to have some more explanation on the basic concepts of how molecular and cell biology works. A lot of times, the autors tell you how to use some tool, but is not always clearly explained to me why, for what purpose they use the tool. For instance they explain how to find a list of related protein sequences, but for me it is not clear why biologists need to have such a list. And this is only one example, I could give much more simular examples...		2. Remember guys, I am a dummy, so please explain me the difference between a gene and a genome before using these terms. And also, I heard about chromosomes, but why do you not explain what is it exactly ?. Also, there are a lot of explanations on how to work with RNA, but please explain me more about the functional difference between RNA and DNA.		3. The explanations on how to use serveral internet tools are too wordy, they spent several pages explaining things that are so intuitively clear like \"click this or that button\", \"use menu file, edit, copy to past your stuff to the computer clipboard\"....		4. A lot of complex terms are or not explained the first time they use it (\"phylogenic\"). Sometimes these terms are explained further in the book,  but from a didactical standpoint, you should at least give an informal definition when you first use some concepts...		Conclusion:  I currently read the first hundred pages of the book and maybe I will change this review later on. But I can already tell : the first chapters might be well suited for a computer dummy, but definitely not for a biology dummy. However with some help of the internet(for instance there is an excellent explanation on how cells work at the howstuffworks website http://science.howstuffworks.com/cell.htm), I will continue to read the book further. Maybe after that I will need to change my preview..."
"10.1086/655035","Bioinformatics","0470089857","I am a couple years into a PhD in bioinformatics, but this is the book I started with.  I knew some biology and some computer science, but I still found a lot of the databases, etc. confusing and the field has a decided lack of simplified documentation (though it is getting better).		Of course, bioinformatics is a pretty broad topic and no book could possibly cover everything.		If you do not know any biology at all you probably should also get a basic text on genetics/molecular biology (or read thema at the NCBI web site books section for free).  You don't need anything in depth to read the dummies book, just at the level of an introductory biology book.  Hint: DNA to RNA, RNA to Protein.  And  you want to know why proteins are similar because proteins with similar amino acid sequences often have similar chemical properties and therefore similar functions, so if you know what one protein does you can guess what a protein like it probably does.	:-)		And despite the name of the book the authors are REAL bioinformaticists (T-Coffee rocks!)"
"10.1086/655035","Bioinformatics","0470089857","This is an excellent introduction to Bioinformatics. It does assume some very basic knowledge of biology- perhaps a couple of paragraphs could help the total newbies.		Have you noticed that reviews of bioinformatics books tend to follow certain patterns? The Computer Scientists and mathematicians complain that there is not enough detail about the algorithms, the biologists complain that they could not get through the math, and everyone complains that there is not enough detail about their favorite programs! Let us face the fact that this is a very broad field, and most people that want to learn about it will never design algorithms."
"10.1086/655035","Bioinformatics","0470089857","This book kind of blew me away. Bioinformatics is such a big word.		Then in the second chapter they tell you 'How Most People Use Bioinformatics.' And all of a sudden they have you on line to the National Library of Medicine at the National Institute of Health. They have you looking at protein sequences, and you even understand what they are saying.		This is a 'For Dummies' book. It is written in their traditional style, assuming that you know very little -- well to be sure they say they are making the assumption that 'You likely have a background in molecular biology. If you don't - or if you need to brush up on your molecular biology - Chapter 1 gives you a brief overview of the basics.'		I found that the first few chapters went down pretty easily. By part IV it had gone further than I wanted to go, and I quit reading.		BUT if I were going to be taking a course in bioinformatics, or even thinking about taking such a course, or just looking at a degree in biology, I'd spend a week or two getting around this book. It's written a hell of a lot better than any text you're likely to get assigned, and at its price it's quite a deal."
"10.1086/655035","Bioinformatics","0470089857","The tile might be misleading.		-First : the word \"for dummies\" is misleading, as already explained in a previous review. The expected level of biology knowledge is not advanced, but definitely not at dummy level.		-Second : the word bioinformatics might also be misleading. Especially for more computer educated people, the word bioinformatics is about algorithms applied to solve biological problems. This book however is not about algorithms, it is just about which tools exists and how to use them. You can find the same information for free on the internet at the particular tools websites.		It is like publishing a book with title \"Car mechanics\" en in the book explaining how to drive a car, instead of how the engine works."
"10.1086/655035","Bioinformatics","0470089857","In spite of the title (I don't know many dummies interested in multiple sequence alignments) this reference is written by experts in the field of bioinformatics and is very accessable for the beginner.  I purchased this book as a beginning graduate student so that I could learn which programs to use to compare amino acid and nucleic acid sequences as well as prepare them for publication and this book was perfect for this end.  This text doesn't delve into the algorithms or much theory (which is learned through practice and other sources), nevertheless, I recommend this for the researcher for a crash course or quick reference.  This book really helped me get my feet wet in this area (and recently publish a nice alignment) and will certainly reduce my workload next semester for my bioinformatics course!"
"10.1086/655035","Bioinformatics","0470089857","There is a lot of the book related to giving you details of particular sites to go to -- to perform various tasks.  And there is details on exactly the screens you will see how you should fill them out.  I found a LOT of that information to be dated and incorrect.		I found the information about the basic Bioinformatics tasks to be relevant and accurate, but many of the details given were not of much use, due to the reason given above."
"10.1086/655035","Bioinformatics","0470089857","Many people are derisive about the \"for Dummies\" series, believing them to be too simplistic and sometimes even an insult to their intelligence. That can hardly apply to this book, as there is nothing \"dummy\" about it. You need a significant background in biology and chemistry in order to understand most of it. You need to understand the amino acid structure of proteins, the structure of DNA and many fundamental principles of data analysis. Some knowledge of the structure and operations of databases is also needed. The authors include a large number of web sites containing additional information and that can run analyses.	 The coverage is so thorough and detailed that this is the only \"for dummies\" book that I have seen that could honestly be recommended as a college text.  And not just at the freshman level either."
"10.1086/655035","Bioinformatics","0470089857","The first chapter is a short review of DNA and RNA sequences, amino acids, and protein. The other chapters teach you to use the free software found on the Internet to work with your research.  Information is also given which helps explain some biochemicals. My skills are in Software Development using C++ language, and I need more information on biochemicals to understand the problems and to develop algorithms to solve them.		My only criticism is that I would like the book to give more biochemical theory before taking up the subject of Internet software.		Overall, this is a good beginner's book on biochemistry."
"10.1086/655035","Bioinformatics","0470089857","I'm glad I bought this book and I will continue to refer to it.  The remit of the Dummies series is to provide a guide to its subject matter without any great fuss.  The text focuses on practical techniques without unnecessary diversion into the detail of molecular biology or computer science.  In this respect it would have been a difficult book to author, readers having come from one discipline or the other.  I agree with previous reviewers that this is well worth reading before doing a bioinformatics course or degree.  Bioinformatics is a new field, and this book has delivered a useful introduction to it without recourse to expensive textbooks full of unreadable filler."
"10.1086/655035","Bioinformatics","0470089857","Good concepts for a beginner ad intermediate level. Concepts are clearly explained and are easy to understand."
"10.1086/655035","Bioinformatics","0470089857","It is a great book for a any college level student,	even with very little background in Biology. They gave	you all the background you need to understand why you	want to do such and such analysis.<p>No painful math either! and some of the jokes are actually	... fun.<p>It is soooo different from other Bioinfo books I came across.<p>A good buy, really."
"10.1086/655035","Bioinformatics","0470089857","I got this book a week ago because one of my profs offered to buy it for a volunteer who was willing to check it out and then make a recommendation on it to the rest of the class. I'm glad I volunteered, and I'm encouraging my classmates to get their hands on a copy. This book wasn't boring. It was completely hands on, and it addressed the topic from the perspective of a biologist, not a technophile-- which was exactly what I needed. It helped me reconcile my love for pure science with my increasing anxiety about needing to be so darn computer proficient to have any kind of job I can apply my degree to these days. I'm glad I got a hold of it early in the semester. I think it's going to really impact my grade in the class-- Oh, and my understanding of bioinformatics!"
"10.1086/655035","Bioinformatics","0470089857","The second edition is now over six years old. There have been huge changes in that time and while the basics are still mostly correct just about every web site has changed substantially in the last six years.  The idea of Bioinformatics for Dummies is needed now more than ever but it really needs to be current to be worth buying."
"10.1086/655035","Bioinformatics","0470089857","As a Phd student in biology, this book offers great reference for bioinformatics in a clear and smooth manner. it explains briefly the concept behind few notions and then shows you how to search, interpret the data you receive. no previous knowledge of bioinformatics is necessary to have this book. the only problem is that several websites either change/close their website or change the application format and it becomes hard to follow the book instructions. however it is a very important tool for researchers."
"10.1086/655035","Bioinformatics","0470089857","I really cannot imagine a good audience for this title.	If a person has any interest in bioinformatics, they are certainly too intelligent to benefit from this book's obsession with explanations that could only be appropriate for readers that are over 90 or under 9."
"10.1086/655035","Bioinformatics","0470089857","Book should be treated as a secondary source of knowledge that will help to refresh memory about bioinformatics. Easy written, nice for weekend."
"10.1086/655035","Bioinformatics","0470089857","I am a molecular biologist who is familiar with many parts covered in the book but wanted a more conprehensive, easy to understand, overview of bioinformatics.  I loved reading this book and have asked my research student to read it as well."
"10.1086/655035","Bioinformatics","0470089857","I'm SO pleased with this book. I've done some bioinformatics (classes and workshops), but this book really helped me get a grasp on the things I was missing. There's a lot of info and tutorial styles writing in it. They use a few examples all throughout the book and you can easily follow along or use your own information. I'm a mid level user who wants to do more, and this has given me lots of ideas I didn't know were out there. This field moves so fast, that it's nice to get a quick start. I highly recommend this book."
"10.1086/655035","Bioinformatics","0470089857","Very simple and very well explained, I recommend this book to all who show interest in using bioinformatics as a research tool."
"10.1086/655035","Bioinformatics","0470089857","This is overall a good book on bioinformatics. If you like the Dummy series, you will like this book. It's more thorough on the biology side of bioinformatics than on the \"information\" side. However, the concepts are explained in an easy to understand fashion. Worth the price."
"10.1086/655035","Bioinformatics","0470089857","This book will get you up and running on Bioinformatics in no time.  I wish I got this book before I enrolled in a $$$$$ Bioinformatics course.  I got more knowledge and information from this book $$$$$ than the course!  And I am just in chapter 5 of the book and I'm more than half way through that $$$$$ course."
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"Very expensive book not to use color. Although fossils are discussed adequately, it does not do the job for a student who needs to learn the distinguishing characteristics of some 200 fossils in a semester. Almost overwhelming in scope, but it needs to be for a demanding class."
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"I'm taking Paleobiostrat with a pretty well known and respected professor, and he loves the older edition of this book, absolutely hates the writing format of this new edition."
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"I thought this book was one of the best Dinosuar books I have ever read.......this book had lots of really neat info about the different kinds of dinosuars and how to be a paleontologist in your own time. I give this  excellent dino book four stars!!!!"
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"Ordered this textbook new, and it arrived with tears on the outside of the binding and edges of book is scratched and dented, to the point where the edges of the cover paper is splitting into two pages.  I am very disappointed and have received used books in better quality."
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"Great, fantastic book for general knowlege of fossilation and geology back ground. highly reccomend"
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"This book came in a great condition! It was almost like new! And it also came fast! It was a great price for a book in such a great condition."
"10.1086/650226","Introduction to Paleobiology and the Fossil Record",1405141573,"I personally feel Benton's book leaves an abundant more it be answered. The book does have such good points like as to the photo's and diagrams presented in the text, but the book is written with a higher learning in  mind that might leave the common reader wondering what they just read. I  have read far better books than this one , and I recommend it only for  students of paleology or seasoned veterans in the field."
"10.1086/655095","The Secret Life of Tigers","0195697901","Simply the best book ever put together about tigers. Valmik Thapar knows his subjects! He explains more about tiger behavior and family life than any other author reporting on the topic. His greatest work is probably on the role of the tiger father--he proves, with ground breaking photographs, that male tiger fathers actually care for and are affectionate for their young. It's a very good book, by the world's foremost expert on tiger family life. I give it an A+ and a must for any true tiger lover!"
"10.1086/655095","The Secret Life of Tigers","0195697901","Until Thapar's observations, there was not much information about the family life of tigers. Generally, male tigers were known to be totally indifferent fathers, sometimes even a serious threat for their own cubs. There have been many hunters reporting about male tigers killing and eating cubs. Valmik Thapar's observations in Ranthambhore tell the opposite. In a more or less stable natural environment, without the constant persecution by hunters and poachers, male tigers meet their family occasionally for eating, resting, and sometimes even for playing.		From 1986 to 1988 Fateh Singh and Valmik Thapar could observe three tiger families, mother father and cubs, resting, eating and playing together. Some of the cubs could survive into sub-adulthood within two years, but even then, there were no signs of any conflict with the resident father.		I enjoyed reading this book from the beginning to the end, and finished it within a single day. It is a very informative story too."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","This book does not need a review. Anybody who is involved in plants, other  than the garden kind, knows full well that this is an essential reference.  Quite up to date too, which is pretty amazing in view of the pace that  science sets. There is an enormous mass of data in here, printed on very  thin paper, making for a very handy book that will fit a spot near where  you need it, which is likely to be often."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","As a graduate student in ecology I often encounter unfamiliar genera in the literature, and a quick peek in Mabberley gives me enough taxonomic grounding to keep plowing ahead. By constantly referring to this book, I  have greatly improved my knowledge of plant relationships."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","A little bit too pricey for a casual purchase, therefore I would be surprised if it ever gets less than 5 stars. I have been using this book at the Botanical Research Institute of Texas (BRIT) for adding collections of specimens to the herbarium at BRIT. It is generally considered the standard work and definitive answer to current plant family names. It is also great for looking up abbreviations of botanists' names (you know, those little abbreviations at the end of the plant's scientific name).		It was time to get my own copy. Essential reference and  \"the word\" for taxonomy."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","I purchased this reference a few years ago.  Once I received it and began using it, I wondered how I'd ever gotten along without it.  The author's British and so the dictionary's common names are more often &quot;British&quot; than &quot;American&quot;, but it is still the handiest plant dictionary I have.  It is a little larger than pocket size, but it is still small enough to be held comfortably in one hand."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","This is a reference book only. Do not expect any light reading. If you must have descriptive information on a huge list of plants, this is the book."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","The third edition of this tome is greatly expanded and revised, and continues to be an indispensable reference for anyone working in the area of phytochemical systematics.  It is a 'must have'."
"10.2307/41242884","Mabberley's Plant-Book. A Portable Dictionary of Plants, Their Classification and Uses, 3rd Edition","0521820715","\"Mabberly\" is a definitive resource in any botanist's library. The treatment provides information about every seed bearing plant family and genus in the world. There is often additional information regarding special domestic culture, and/or special morphological or chemical traits within a genus. This is not a picture book- it is very dense with information and great buy. The book is hardbound in fascicles, which means the high quality binding will ensure it will last. It is such a significant resource in my personal and professional life that I bought one for my home and one for the office (Ok- I'm a plant nerd)."
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","This field guide is a definitive yet handy guide that will surely be a classic of its type. It covers all the living species of native mammals from Mexico to Panama (including aquatic species such as whales and  otters). For each species there is a careful description of its physical  appearance along with notes on habitats, ranges (with maps) and behaviour,  as well as  other useful comments such as the best place to see a  particular species,  what the ground tracks look like and the status of  threatened species. It is an absolute mine of fascinating information, much  of it newly gathered or previously available only in obscure academic  sources. There are excellent introductory sections on the main mammal  groups, and good indexes and bibliographies -- in short , everything one  needs to find and enjoy looking at mammals.  But the most unique and useful  feature (as well as the greatest delight -- and why this is a true  classic), are the illustrations - hundreds of beautifully drawn colour  plates painted from life (often in the most demanding of circumstances),  that will allow you to settle important questions like &quot;Is that a  Woolly False Vampire Bat or a Great False Vampire Bat that just bit  you&quot; without flaming your travelling companions. (The book is  especially strong on Bats.) Flying squirrels, monkeys, oppossums, sloths,  deer mice, armadillos dolphins and skunks, they are all here. I would  highly recommend this book both for amateurs and professionals (whether  they are going to central america or not!). Every academic library should  have a copy of it. <p>The care taken over detail throughout make the book  both scientifically valuable and highly readable. It is a true labour of  love -  and just look at this quote from  the author's preface!  &quot;Some species I painted while sitting in a truck, using the steering  wheel as an easel, and some in a tent with a hadlamp at night, but most  were done outside during the day, sitting on the ground or on a log.  The  white background of the plates suffered from a continuous onslaught of  dust, sweat, and grime, and other indefinable debris. Carrying the plates  throughout Central America involved some harrowing experiences, one of  which was a short flight to Tortuguero in Costa Rica. The pilot had at  length persuaded me to put my portfolio in the front baggage hold in the  nose of the plane, and after we took off he realized that the door to this  hold had come open. While the other four passengers agonized over the  possibility of the plane going down if the luggage became tangled in the  propellors, I was trying to follow our coordinates so I could search for my  plates if they fell to the swampy ground below. Fortunately, we landed at a  small airfield, corrected the problem, and lost nothing but peace of  mind.&quot;"
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","I had the opportunity to participate in a research project in Nicaragua.  A local Nicaraguan university library allowed me to check out and use any field guide I wanted.  Within days, all other field guides were permanently stowed in the bottom of my bag until I could return them to the university.  <p>Having never been to the tropics before, I was still able to identify every bat I caught using mist nets with only the aid of this book (my local guides were unfamiliar with the bats).	This book will be your best piece of equipment if you plan to study mammals in Central America.		One of the first things I did when I returned home was order my own copy of this wonderful book."
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","We just returned from a trip to Panama and Costa Rica that I had purchased the book for.  I had little time to consult books as we were so busy but it was helpful as background before the trip and as a resource during the trip.  It is a beautiful book and I will keep it.  As an all around resource and book to have along two other books were helpful.  One, Watching Wildlife: Central America (Lonely Planet) and another Birds of Costa Rica (photographic volume) were very helpful and easy to carry along.  Others brought Birds of Panama and used it alot - very heavy to carry.  The guides used the laminated wildlife \"brochures\", two I got on amazon but there were others available down there.  There doesn't seem to be one great resource for wildlife in the region but as we were traveling with naturalists and with the above two sources, we were pretty happy."
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","If I were just covering the book I would give it a five -- hands down.  It is a great book and easy to find the animals you see.  However, if you A) live in a tropical environment B) handle this book at all, the binding falls apart.  How sad that such a good book looks like it is 10 years old after a few months.  I've now purchased this book twice because of the content only to find the binding fell apart both times."
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","This is a very comprehensive and very well done book. It is easy to use, has excellent illustrations drawn to accurate size and color. I am impressed with this book...it will help me learn the mammals of my new home in Belize! I would recommend this book."
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","I was disappointed when I received this book.  It is a \"text\" book.  Very dry.  Being fair, there is good information in it if you can stay awake long enough to read it,chapter by chapter!  I did learn there is more than one kind of skunk (mofeta) - that was amazing!  For a college student, this book is perfect.  Had I been able to thumb through it prior to ordering it, I would not have bought it.  This will be heading to our local library!"
"10.2307/40665193","A Field Guide to the Mammals of Central America and Southeast Mexico","0195343239","This is a great book, full with updated information and precious drawings by the author. Following the style of similar books, this is not only a field guide but also a reference on basic data about these species, including distribution (maps for each species), ecology, morphology and particular behavior for most species.	Fully recommended for biologists working on this region."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","Interesting read from someone who lives and breathes the knowledge he speaks of every day. A definite read and very well written."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","I got this book as a suggestion from my professor. It is a good read for any female. And males should read it to understand why women should act a certain way."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","I read this some years ago and have subsequently loaned it to every important woman in my life: mom, sister, wife, close friends, etc. All of them have had the same reaction - a mixture of \"Oh my, I never thought of that/this\" and \"Something just like what he described happened to me!\".		Before you read anymore of this review, know this: BUY THIS BOOK AND GIVE IT TO AN IMPORTANT WOMAN IN YOUR LIFE. YOU MIGHT JUST SAVE HER LIFE. Buy it, buy it, buy it. Even if you have to pay full price, buy it!		All that said, I do want to cite De Becker for a few things I disagreed with.	- He has trained himself to be a hammer, so the world, in this book, is nothing but nails to him. He criticizes \"rapport\" as a tool of those who wish to do harm but doesn't even pay attention to the fact that EVERYONE uses rapport with every interaction in their lives. It is innocuous, like air, and cannot be avoided and thus should not be demonized.	- He criticizes martial arts as a poor method of self defense, yet in the back of his book heralds the importance of Women's Self Defense Courses.	- And this is a minor point, but he does spend a bit of time on how awesome his predicting skills and systems are; which caused me to roll my eyes a few times.		In the end, I am glad I bought this book. And when my niece is old enough for this kind of content, I'll give it to her to read, too."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","EVERY women should read this book NOW! By doing so you could potentially save your life or the life of another! (Of course, men should read it, also). The main theme, trusting our intuition...sensing when something is wrong; not quite right...is something we have all moved away from as we tend to rationalize everything. De Becker, an expert in his field, easily engages and guides you and provides invaluable examples to keep you safe and out of harms way. If you do one positive thing for yourself this year, READ THIS BOOK!"
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","I came onto this book rather late but it was one of the best I've read in a long time.  Insightful and very helpful."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","A common sense approach to letting your intuition work for you. Listen to your God given instincts and live a more relaxed and happier life."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","This book has the potential of saving someone's life - especially the life of a woman. I have bought it for several important women in my life and have recommended it to many others. However, the delivery experience from the vendor was terrible.They sent a notice that it was shipped on December 13th but it was not received until January 14th."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","This is a must read for every person who lives alone, every student who goes to college, every girl who babysits or dates. This empowers you to act by giving you the information that your body already has but you ignore. It tells you things that allow you to hone in on your survival skills. Reading this book might save your life. Buy it. Read it. Pay attention to it."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","Excellent information that is highly useful. Definitely rereadable.  Would also recommend Gavin DeBecker's, Protecting the Gift.  It's a must for parents who want to keep their children safe."
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","Wasn't sure what to expect from this book, but it came highly recommended from multiple sources, and its been great great great.		Read it in two days and wish there was more books just like this out there.  What Mr. De Becker was able to accomplish with this book is something else.		It shows you how to look at fear as a tool, rather than a hindrance.  And am not talking about the 'Oh crap am I going to get fired?' type of fear.  No.  What he covers is the true, mind-numbing, heart-racing 'Is there danger near me..?' type of fear.  He also guides you on how to use it to make it your strength.		Even my best book review ever could not give justice to this instant classic.  My wife is reading it now and is flying through it too.		Definitely highly recommend!"
"10.1525/abt.2010.72.9.14","Signals for Survival (DVD)","0440508835","I am glad that I read the book and can now understand how and when real fear is necessary to move us to do something that may save our lives.  At times I felt he was probably speaking to professional people in his field of work, however I gleaned what I needed to help me.  He made it easy to understand why fear is a necessary tool and worry is a choice and is destructive. Now I get the meaning of the title of the book. Fear is a gift. Thanks for sharing your knowledge with us."
